Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
222-134A,G,OV,0.50,H,VS2,VG,EX,VG,F,N,5.93 - 4.44 * 2.77,GIA,6342738315,,1386.000,34.000,1428.00,32.000,,,,62.40,54.00,,,,Faceted,NON,,,,,,GIA 6342738315,,MUMBAI,1386.000,693.000
232-325A,G,RBC,0.35,F,VVS2,EX,EX,EX,F,N,4.51 - 4.49 * 2.84,GIA,6352000545,,1610.000,30.000,1656.00,28.000,,,,63.00,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.20,GIA 6352000545,,MUMBAI,1610.000,563.500
222-51A,G,PR,0.50,J,VVS2,VG,EX,G,N,N,4.18 - 4.17 * 3.16,GIA,2344738505,,1121.000,41.000,1159.00,39.000,,,,75.70,69.00,,,,Faceted,NON,,,,,,GIA 2344738505,,MUMBAI,1121.000,560.500
222-366A,G,RBC,0.30,J,VS1,VG,EX,VG,F,N,4.26 - 4.21 * 2.70,GIA,1349849965,,960.000,40.000,992.00,38.000,,,,63.90,56.00,,,4.50,Faceted,NON,,16.50,36.50,43.00,40.60,GIA 1349849965,,MUMBAI,960.000,288.000
210-18A,G,PB,1.50,G,SI1,VG,EX,G,N,N,10.08 - 6.57 * 3.87,GIA,6345111165,,4144.000,44.000,4292.00,42.000,,,,58.90,67.00,,,,Faceted,NON,,,,,,GIA 6345111165,Pinpoints are not shown. Surface graining is not shown.,MUMBAI,4144.000,6216.000
219-213A,G,OV,0.50,W-X,SI2,VG,VG,VG,S,B,6.02 - 4.45 * 2.78,GIA,7346496873,,504.000,44.000,522.00,42.000,W-X,,,62.50,59.00,,,,Faceted,NON,,,,,,GIA 7346496873,,MUMBAI,504.000,252.000
228-8A,G,OV,0.50,E,SI1,G,EX,VG,N,N,5.70 - 4.38 * 2.85,GIA,7356118762,,1357.000,41.000,1403.00,39.000,,,,65.10,54.00,,,,Faceted,NON,,,,,,GIA 7356118762,,MUMBAI,1357.000,678.500
210-55A,G,RBC,1.16,H,SI2,EX,EX,EX,N,N,6.77 - 6.75 * 4.17,GIA,1345111508,,2862.000,46.000,2968.00,44.000,,,,61.60,54.00,,,4.00,Faceted,NON,,15.00,33.00,43.00,40.80,GIA 1345111508,Additional clouds are not shown. Pinpoints are not shown.,MUMBAI,2862.000,3319.920
229-200A,G,RBC,0.30,I,VS1,G,EX,VG,M,B,4.13 - 4.10 * 2.70,GIA,6352026856,,900.000,50.000,936.00,48.000,,,,65.60,56.00,,,6.50,Faceted,NON,,17.00,38.00,42.50,40.20,GIA 6352026856,,MUMBAI,900.000,270.000
229-232A,G,RBC,0.40,F,VS1,VG,EX,VG,S,B,4.62 - 4.59 * 2.96,GIA,6355001340,,1378.000,47.000,1430.00,45.000,,,,64.30,57.00,,,5.00,Faceted,NON,,17.00,38.50,42.50,40.40,GIA 6355001340,,MUMBAI,1378.000,551.200
238-18A,G,RBC,0.30,G,VS1,EX,EX,VG,F,N,4.27 - 4.24 * 2.65,GIA,6352230016,,1200.000,40.000,1240.00,38.000,,,,62.30,58.00,,,4.00,Faceted,NON,,15.50,36.00,42.50,40.60,GIA 6352230016,,MUMBAI,1200.000,360.000
220-4A,G,EM,0.33,D,IF,EX,EX,G,N,N,4.59 - 3.43 * 2.19,GIA,6342851209,,1568.000,44.000,1624.00,42.000,,,,64.00,59.00,,,,Faceted,NON,,,,,,GIA 6342851209,,MUMBAI,1568.000,517.440
214-112A,G,OV,1.00,G,SI2,VG,G,,N,N,7.59 - 5.34 * 3.61,IGI,407934790,,1755.000,61.000,1845.00,59.000,,,,67.60,58.00,,,6.60,Faceted,Pointed,,17.00,39.50,44.00,40.50,,,MUMBAI,1755.000,1755.000
228-21A,G,RBC,0.35,J,VS2,EX,EX,EX,F,N,4.51 - 4.48 * 2.83,GIA,1353040905,,900.000,40.000,930.00,38.000,,,,63.00,57.00,,,3.50,Faceted,NON,,16.00,36.00,44.00,41.40,GIA 1353040905,,MUMBAI,900.000,315.000
221-462A,G,PB,0.31,D,SI2,VG,EX,G,F,N,5.72 - 3.77 * 2.41,GIA,1348878129,,915.000,39.000,945.00,37.000,,,,63.90,56.00,,,,Faceted,NON,,,,,,GIA 1348878129,,MUMBAI,915.000,283.650
241-74A,G,RBC,0.80,K,VS2,EX,EX,EX,N,N,5.92 - 5.88 * 3.69,GIA,6352156970,,1776.000,26.000,1824.00,24.000,,,,62.50,57.00,,,4.00,Faceted,NON,,15.50,36.00,42.50,40.60,GIA 6352156970,,MUMBAI,1776.000,1420.800
235-3A,G,RBC,0.58,G,SI2,EX,EX,EX,F,N,5.32 - 5.29 * 3.32,GIA,1355142109,,1536.000,36.000,1584.00,34.000,,,,62.60,56.00,,,4.00,Faceted,NON,,15.50,35.50,42.50,40.60,GIA 1355142109,,MUMBAI,1536.000,890.880
234-242A,G,RBC,0.40,L,SI2,EX,EX,EX,N,N,4.79 - 4.77 * 2.89,GIA,2346767020,,814.000,26.000,836.00,24.000,,,,60.50,61.00,,,3.50,Faceted,NON,,13.00,33.00,44.00,41.60,GIA 2346767020,,MUMBAI,814.000,325.600
215-273A,G,OV,0.90,F,SI2,EX,EX,VG,N,N,7.83 - 5.53 * 3.27,GIA,5343766904,,2400.000,40.000,2480.00,38.000,,,,59.20,60.00,,,,Faceted,NON,,,,,,GIA 5343766904,,MUMBAI,2400.000,2160.000
237-187A,G,RBC,0.50,K,VS1,VG,EX,VG,S,B,4.98 - 4.92 * 3.19,GIA,1355098277,,1080.000,46.000,1120.00,44.000,,,,64.50,55.00,,,5.50,Faceted,NON,,17.50,37.50,42.00,40.00,GIA 1355098277,,MUMBAI,1080.000,540.000
237-63A,G,RBC,0.40,F,SI1,EX,EX,EX,S,B,4.70 - 4.67 * 2.96,GIA,3355119540,,1218.000,42.000,1260.00,40.000,,,,63.10,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.50,41.20,GIA 3355119540,,MUMBAI,1218.000,487.200
196-18C,G,CU,0.41,FDY,I1,EX,EX,EX,N,N,4.49 - 4.09 * 2.61,GIA,1329940582,,750.000,-50.000,760.00,-52.000,FDY,,,63.90,57.00,,,,Faceted,NON,,,,,,GIA 1329940582,Additional clouds are not shown. Pinpoints are not shown.,MUMBAI,750.000,307.500
